"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9,R1,R3,R8,R15,R18,R21,R24,R25";"C_0805";9;"10K";;;
2;"J2";"PICKIT-PROG";1;"CONN_5";;;
3;"J3";"myPin_Header_Straight_1x02";1;"mic";;;
4;"U1";"SOT-23-6";1;"TC1240A";;;
5;"U2";"SOT-223";1;"LM1117-5V";;;
6;"U5";"SOIC-20-W";1;"MCP2200";;;
7;"U8";"SOT-23-6";1;"DAC";;;
8;"C2,C6,C7,C8";"TantalC_SizeC_EIA-6032_Reflow";4;"100u";;;
9;"m2,m4,m1,m3";"3mm-mounting-hole";4;"GND";;;
10;"P1";"myPhoenixCon-new";1;"SINE";;;
11;"P2";"myPhoenixCon-new";1;"A1";;;
12;"P3";"myPhoenixCon-new";1;"CCS";;;
13;"P4";"myPhoenixCon-new";1;"IN1";;;
14;"P5";"myPhoenixCon-new";1;"IN2";;;
15;"P6";"myPhoenixCon-new";1;"SEN";;;
16;"P7";"myPhoenixCon-new";1;"A2";;;
17;"P8";"myPhoenixCon-new";1;"MicOut";;;
18;"P9";"myPhoenixCon-new";1;"SQR1";;;
19;"P10";"myPhoenixCon-new";1;"PVS";;;
20;"P11";"myPhoenixCon-new";1;"OD1";;;
21;"P12";"myPhoenixCon-new";1;"SQR2";;;
22;"P13";"myPhoenixCon-new";1;"Aout";;;
23;"P14,P15,P16,P17";"myPhoenixCon-new";4;"GND";;;
24;"P18";"myPhoenixCon-new";1;"Ain";;;
25;"TP1";"myTestPoint";1;"5V";;;
26;"TP2";"myTestPoint";1;"10V";;;
27;"C11,C14,C15,C19,C20,C21,C22,C23,C25,C26,C1,C3,C5,C9,C10";"C_0805-0.1uf";15;".1u";;;
28;"C12,C13,C17,C18";"C_0805";4;"15pF";;;
29;"C24";"C_0805-0.1uf";1;"15pF";;;
30;"R2,R12";"C_0805";2;"5K1";;;
31;"R6";"C_0805";1;"12K";;;
32;"R7";"C_0805";1;"10k";;;
33;"R10,R17";"C_0805";2;"10M";;;
34;"R11,R13,R16,R19,R22,R27";"C_0805";6;"1K";;;
35;"R14";"C_0805";1;"3K3";;;
36;"R20";"C_0805";1;"100";;;
37;"R23,R26";"C_0805";2;"51K";;;
38;"J4";"mySocket_3x1";1;"pwr";;;
39;"C4,C16,C27,C28";"myTantalC_SizeA";4;"10u";;;
40;"TP3";"myTestPoint";1;"PVS";;;
41;"J5";"myPin_Header_Straight_1x04";1;"I2C";;;
42;"U7";"SOIC-28-W";1;"PIC24FV32KA302";;;
43;"D1,D2";"zener";2;"4v7";;;
44;"D3,D5";"zener";2;"7v1";;;
45;"R4,R5";"C_1206";2;"47";;;
46;"Q1,Q2";"SOT-23-BEC";2;"3906";;;
47;"D4";"myPin_Header_Straight_1x02";1;"LED";;;
48;"J1";"USB_A-new";1;"USB";;;
49;"f1,f2";"fiducial";2;"fid";;;
50;"X1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
51;"X2";"Crystal_HC49-U_Vertical";1;"16MHz";;;
52;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"7660";;;
53;"U6";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"LM324";;;
54;"U4";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"TL084";;;
55;"U9";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"74126";;;
